Name,Year,Rating
Tenet,2020,7.4
Nomadland,2020,7.4
Promising Young Woman,2020,7.5
The Father,2020,8.3
Once Upon a Time... In Hollywood,2019,7.6
Another Round,2020,7.8
Sound of Metal,2019,7.8
The Godfather,1972,9.2
Inception,2010,8.8
Interstellar,2014,8.6
Parasite,2019,8.6
Minari,2020,7.5
Joker,2019,8.4
Titanic,1997,7.8
Soul,2020,8.1
The Dark Knight,2008,9.0
Juno,2007,7.4
Pulp Fiction,1994,8.9
Back to the Future,1985,8.5
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Blade Runner 2049,2017,8.0
Inglourious Basterds,2009,8.3
Jaws,1975,8.0
Goodfellas,1990,8.7
Gladiator,2000,8.5
The Matrix,1999,8.7
Alien,1979,8.4
Ex Machina,2014,7.7
To Kill a Mockingbird,1962,8.3
Black Panther,2018,7.3
Whiplash,2014,8.5
1917,2019,8.3
Green Book,2018,8.2
The Departed,2006,8.5
The Silence of the Lambs,1991,8.6
Jojo Rabbit,2019,7.9
Call Me by Your Name,2017,7.9
Jurassic Park,1993,8.1
Judas and the Black Messiah,2021,7.5
Arrival,I2016,7.9
Forrest Gump,1994,8.8
Suicide Squad,2016,5.9
Almost Famous,2000,7.9
Schindler's List,1993,8.9
Mad Max: Fury Road,2015,8.1
Aliens,1986,8.3
No Country for Old Men,2007,8.1
Django Unchained,2012,8.4
Avatar,2009,7.8
Zero Dark Thirty,2012,7.4
8 Mile,2002,7.1
Rocketman,2019,7.3
Dunkirk,2017,7.8
Star Wars: Episode IV - A New Hope,1977,8.6
Saving Private Ryan,1998,8.6
Brokeback Mountain,2005,7.7
Mystic River,2003,7.9
Top Gun,1986,6.9
The Lion King,1994,8.5
Little Women,2019,7.8
The Lord of the Rings: The Return of the King,2003,8.9
Ford v Ferrari,2019,8.1
Skyfall,2012,7.7
Bohemian Rhapsody,2018,7.9
Get Out,2017,7.7
Star Trek,2009,7.9
There Will Be Blood,2007,8.2
Indiana Jones and the Raiders of the Lost Ark,1981,8.4
Spider-Man: Into the Spider-Verse,2018,8.4
Fargo,1996,8.1
Eternal Sunshine of the Spotless Mind,2004,8.3
American Beauty,1999,8.3
Terminator 2: Judgment Day,1991,8.5
Apocalypse Now,1979,8.4
Shrek,2001,7.9
The Godfather: Part II,1974,9.0
The Grand Budapest Hotel,2014,8.1
Hacksaw Ridge,2016,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Good Will Hunting,1997,8.3
The Shape of Water,2017,7.3
Independence Day,1996,7.0
Spirited Away,2001,8.6
Braveheart,1995,8.3
The Big Short,2015,7.8
The Hateful Eight,2015,7.8
The Usual Suspects,1995,8.5
Zootopia,2016,8.0
The Revenant,2015,8.0
The Girl with the Dragon Tattoo,2011,7.8
Dracula,1992,7.4
One Flew Over the Cuckoo's Nest,1975,8.7
Bombshell,2019,6.8
The Great Gatsby,2013,7.2
La La Land,2016,8.0
The Pianist,2002,8.5
"I, Tonya",2017,7.5
Frozen,2013,7.4
The Social Network,2010,7.7
Pearl Harbor,2001,6.2
The Help,2011,8.0
The Lord of the Rings: The Two Towers,2002,8.7
A Star Is Born,2018,7.6
Coco,2017,8.4
Beetlejuice,1988,7.5
Mank,2020,6.9
Black Hawk Down,2001,7.7
The Incredibles,2004,8.0
Pan's Labyrinth,2006,8.2
Spectre,2015,6.8
Fantastic Beasts and Where to Find Them,2016,7.3
The Exorcist,1973,8.0
Room,2015,8.1
Black Swan,2010,8.0
Moonlight,2016,7.4
Her,2013,8.0
The Towering Inferno,1974,7.0
Men in Black,1997,7.3
A Beautiful Mind,2001,8.2
Les Misérables,2012,7.6
The Little Mermaid,1989,7.6
2001: A Space Odyssey,1968,8.3
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
Dirty Dancing,1987,7.0
Argo,2012,7.7
Ratatouille,2007,8.0
Manchester by the Sea,2016,7.8
Marriage Story,2019,7.9
Thelma & Louise,1991,7.5
Dances with Wolves,1990,8.0
The Last of the Mohicans,1992,7.7
The Imitation Game,2014,8.0
The Curious Case of Benjamin Button,2008,7.8
Inside Out,2015,8.1
L.A. Confidential,1997,8.2
The Favourite,2018,7.5
Big Hero 6,2014,7.8
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9
Speed,1994,7.2
Atonement,2007,7.8
Midnight in Paris,2011,7.7
Life Is Beautiful,1997,8.6
Silver Linings Playbook,2012,7.7
Dead Poets Society,1989,8.1
My Octopus Teacher,2020,8.1
Spotlight,2015,8.1
Erin Brockovich,2000,7.4
Stagecoach,1939,7.9
Batman,1989,7.5
Scent of a Woman,1992,8.0
Amadeus,1984,8.3
Training Day,2001,7.7
The Sound of Music,1965,8.0
"Monsters, Inc.",2001,8.1
The Wizard of Oz,1939,8.0
The Sting,1973,8.3
12 Years a Slave,2013,8.1
Boyhood,2014,7.9
Finding Nemo,2003,8.1
The Blind Side,2009,7.6
E.T. the Extra-Terrestrial,1982,7.8
The Last Picture Show,1971,8.0
Unforgiven,1992,8.2
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7
Indiana Jones and the Last Crusade,1989,8.2
Jerry Maguire,1996,7.3
Casablanca,1942,8.5
The Last Days,1998,7.8
Rocky,1976,8.1
The Reader,2008,7.6
Gone with the Wind,1939,8.1
Little Miss Sunshine,2006,7.8
Darkest Hour,2017,7.4
The Untouchables,1987,7.9
Up,2009,8.2
Mrs. Doubtfire,1993,7.0
Platoon,1986,8.1
"Girl, Interrupted",1999,7.3
Lawrence of Arabia,1962,8.3
Dallas Buyers Club,2013,8.0
Spider-Man 2,2004,7.3
Apollo 13,1995,7.6
Citizen Kane,1941,8.3
Vice,2018,7.2
Phantom Thread,2017,7.5
Legends of the Fall,1994,7.5
Some Like It Hot,1959,8.2
The Lives of Others,2006,8.4
The Deer Hunter,1978,8.1
Toy Story 4,2019,7.7
Pirates of the Caribbean: Dead Man's Chest,2006,7.3
Alice in Wonderland,2010,6.4
Indiana Jones and the Temple of Doom,1984,7.5
Lost in Translation,2003,7.7
Master and Commander: The Far Side of the World,2003,7.4
King Kong,2005,7.2
The Jungle Book,2016,7.4
WALL·E,2008,8.4
American Sniper,2014,7.3
Rain Man,1988,8.0
Rango,2011,7.2
Cinema Paradiso,1988,8.5
The Hurt Locker,2008,7.5
Moulin Rouge!,2001,7.6
Ma Rainey's Black Bottom,2020,7.0
Mary Poppins,1964,7.8
Marty,1955,7.7
The Abyss,1989,7.5
Sense and Sensibility,1995,7.7
Death Becomes Her,1992,6.6
Slumdog Millionaire,2008,8.0
Monster,2003,7.3
Beauty and the Beast,1991,8.0
Who Framed Roger Rabbit,1988,7.7
A Fish Called Wanda,1988,7.5
The Fugitive,1993,7.8
Misery,1990,7.8
The Graduate,1967,8.0
My Fair Lady,1964,7.8
Anna Karenina,2012,6.6
MASH,1970,7.5
Crash,2004,7.7
Rosemary's Baby,1968,8.0
The Hunt for Red October,1990,7.6
Walk the Line,2005,7.8
BlacKkKlansman,2018,7.5
West Side Story,1961,7.5
Chinatown,1974,8.2
Aladdin,1992,8.0
My Cousin Vinny,1992,7.6
The Theory of Everything,2014,7.7
Life of Pi,2012,7.9
Brave,2012,7.1
Lincoln,2012,7.3
As Good as It Gets,1997,7.7
Ghost,1990,7.1
Gravity,2013,7.7
The King's Speech,2010,8.0
In the Heat of the Night,1967,7.9
Hugo,2011,7.5
Frida,2002,7.4
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3
Bridge of Spies,2015,7.6
Cocoon,1985,6.7
Million Dollar Baby,2004,8.1
Memoirs of a Geisha,2005,7.3
The Aviator,2004,7.5
The English Patient,1996,7.4
Barry Lyndon,1975,8.1
Breakfast at Tiffany's,1961,7.6
