Rank,Name,Score
1,Fullmetal Alchemist: Brotherhood,9.17
2,Shingeki no Kyojin Season 3 Part 2,9.11
3,Steins;Gate,9.10
4,Gintama,9.09
5,Hunter x Hunter (2011),9.07
6,Ginga Eiyuu Densetsu,9.06
7,Gintama',9.06
8,Gintama': Enchousen,9.04
9,Shingeki no Kyojin: The Final Season,9.00
10,3-gatsu no Lion 2nd Season,8.99
11,Gintama.,8.98
12,Koe no Katachi,8.98
13,Clannad: After Story,8.95
14,Fruits Basket: The Final,8.95
15,Gintama,8.95
16,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94
17,Kimi no Na wa.,8.92
18,Owarimonogatari 2nd Season,8.92
19,Code Geass: Hangyaku no Lelouch R2,8.91
20,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.87
21,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.83
22,Mob Psycho 100 II,8.82
23,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.81
24,Gintama.: Shirogane no Tamashii-hen,8.81
25,Kizumonogatari III: Reiketsu-hen,8.81
26,Sen to Chihiro no Kamikakushi,8.81
27,Gintama: The Final,8.80
28,Violet Evergarden Movie,8.79
29,Jujutsu Kaisen (TV),8.78
30,Monogatari Series: Second Season,8.78
31,Monster,8.78
32,Cowboy Bebop,8.77
33,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.77
34,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.77
35,Mushishi Zoku Shou 2nd Season,8.76
36,Hajime no Ippo,8.74
37,Made in Abyss,8.72
38,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.72
39,Mushishi Zoku Shou,8.72
40,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72
41,Shigatsu wa Kimi no Uso,8.71
42,Vinland Saga,8.71
43,Code Geass: Hangyaku no Lelouch,8.71
44,Great Teacher Onizuka,8.70
45,Mononoke Hime,8.70
46,Haikyuu!! Second Season,8.69
47,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.69
48,Mushishi,8.69
49,Ashita no Joe 2,8.67
50,Hajime no Ippo: New Challenger,8.66
51,Howl no Ugoku Shiro,8.66
52,Natsume Yuujinchou Shi,8.66
53,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.66
54,Tengen Toppa Gurren Lagann,8.65
55,Violet Evergarden,8.65
56,Natsume Yuujinchou Roku,8.64
57,Suzumiya Haruhi no Shoushitsu,8.64
58,Shingeki no Kyojin Season 3,8.63
59,Death Note,8.63
60,Fumetsu no Anata e,8.63
61,Mushishi Zoku Shou: Suzu no Shizuku,8.62
62,Ookami Kodomo no Ame to Yuki,8.62
63,Ping Pong the Animation,8.62
64,Yakusoku no Neverland,8.61
65,Kizumonogatari II: Nekketsu-hen,8.61
66,Yojouhan Shinwa Taikei,8.60
67,Natsume Yuujinchou San,8.59
68,Shouwa Genroku Rakugo Shinjuu,8.59
69,Hajime no Ippo: Rising,8.59
70,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59
71,Kimetsu no Yaiba,8.59
72,Kimi no Suizou wo Tabetai,8.59
73,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.58
74,Fate/Zero 2nd Season,8.58
75,Natsume Yuujinchou Go,8.58
76,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.58
77,Mushishi: Hihamukage,8.57
78,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57
79,Bakuman. 3rd Season,8.57
80,Kara no Kyoukai 5: Mujun Rasen,8.56
81,Sora yori mo Tooi Basho,8.56
82,Yuru Camp Season 2,8.55
83,Zoku Natsume Yuujinchou,8.56
84,One Piece,8.55
85,Fruits Basket 2nd Season,8.55
86,Haikyuu!!: To the Top 2nd Season,8.55
87,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54
88,One Punch Man,8.54
89,Neon Genesis Evangelion: The End of Evangelion,8.53
